User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Laura,@ranoerano,2022-01-23T11:44:27.000Z,"Laura
@ranoerano
·
25mcontaminez-vous tous avec #Omicron...! L'immunité collective arrive !
Laura
@ranoerano
 · 29m
Imposer une thérapie génique pour accéder à des services publics ou des loisirs est criminel #boycott! #covidisme  parents ne cédez pas au chantage! Vous n'allez pas détruire le capital santé de vos enfants juste pour le plaisir de ces énarques millionnaires qui nous gouvernent ? twitter.com/RadioGenova/st…",,,
Datartvelo.,@datartvelo,2022-01-23T11:44:00.000Z,"Datartvelo.
@datartvelo
·
26mAs #Georgia reports record high weekly new cases (55k) due to #omicron surge, hospitalization appears to plateau.",,,
Askgerbil Now,@Askgerbil,2022-01-23T11:43:27.000Z,"Askgerbil Now
@Askgerbil
·
26mReplying to 
@Reasonableques3
 @Myharshwords
 and 
@Dom_Perrottet
All serious illnesses and deaths from the #Omicron outbreak since 18 December 2021 were preventable (378 deaths in NSW to 20 January.)
Scott Morrison failed to buy enough booster doses.
Dom Perrottet does not tell people why so many deaths. 
https://twitter.com/Askgerbil/status/1484832157638217733… 
#COVID19nsw
Askgerbil Now
@Askgerbil
 · Jan 22
The only 'underlying condition' all these 'double vaccinated' patients and deceased people have in common - 

- 'Double vaccinated' with AstraZeneca.
- The second dose was received over 3 months ago. 
- They have NOT received a Moderna or Pfizer booster.

https://news.harvard.edu/gazette/story/2022/01/no-omicron-immunity-without-booster-study-finds/#main…
Show this thread
1",1,,
The Independent,@Independent,2022-01-23T11:43:10.000Z,"The Independent
@Independent
·
26m#Omicron sub-variant BA.2 ‘under investigation’ by UK health officials
independent.co.uk
Omicron sub-variant BA.2 ‘under investigation’ by UK health officials
Further analysis to be carried out into BA.2, says UK Health Security Agency
5
8
11",5,8,11
Useful Leaks,@UsefulLeaks,2022-01-23T11:43:04.000Z,"Useful Leaks
@UsefulLeaks
·
26mCSIR-CDRI Scientists Developed Indigenous RT-PCR kit 'om' specifically to detect #Omicron variant
#UsefulLeaks #KaamKiKhabar 
@CSIR_IND
 @CSIR_CDRI
 
#IndiaFightsCorona
Useful Leaks
@UsefulLeaks
 · 34m
‘ओम’ से नहीं छिप पाएगा Omircon, ‘आत्मनिर्भर भारत’ अभियान के तहत CDRI ने बनाई स्वदेशी RT-PCR किट http://usefulleaks.com/2022/01/23/%e0%a4%93%e0%a4%ae-%e0%a4%b8%e0%a5%87-%e0%a4%a8%e0%a4%b9%e0%a5%80%e0%a4%82-%e0%a4%9b%e0%a4%bf%e0%a4%aa-%e0%a4%aa%e0%a4%be%e0%a4%8f%e0%a4%97%e0%a4%be-omircon-%e0%a4%86%e0%a4%a4%e0%a5%8d%e0%a4%ae/…",,,
Oneindia Videos,@OneindiaVideos,2022-01-23T11:42:47.000Z,"Oneindia Videos
@OneindiaVideos
·
27mओमिक्रॉन वेरिएंट: भारत में ओमिक्रॉन कम्युनिटी ट्रांसमिशन स्टेज में पहुंचा

https://bit.ly/3Kxl6kO

#Omicron #Covid19 #CoronavirusIndianews #Coronavirus
hindi.oneindia.com
ओमिक्रॉन वेरिएंट: भारत में ओमिक्रॉन कम्युनिटी ट्रांसमिशन स्टेज में पहुंचा - Oneindia Hindi
देश मेंCorona and Omicron cases के मामले लगातार बढ़ते जा रहे हैं.रविवार को भी देश में कोरोना वायरस के अब तीन लाख 33 हजार नए केस सामने आए हैं और 525 लोगों की मौत हो गई. वहीं कोरोना के सबसे तेजी से...",,,
Oneindia Hindi,@oneindiaHindi,2022-01-23T11:42:37.000Z,"Oneindia Hindi
@oneindiaHindi
·
27mओमिक्रॉन वेरिएंट: भारत में ओमिक्रॉन कम्युनिटी ट्रांसमिशन स्टेज में पहुंचा

https://bit.ly/3Kxl6kO

#Omicron #Covid19 #CoronavirusIndianews #Coronavirus
hindi.oneindia.com
ओमिक्रॉन वेरिएंट: भारत में ओमिक्रॉन कम्युनिटी ट्रांसमिशन स्टेज में पहुंचा - Oneindia Hindi
देश मेंCorona and Omicron cases के मामले लगातार बढ़ते जा रहे हैं.रविवार को भी देश में कोरोना वायरस के अब तीन लाख 33 हजार नए केस सामने आए हैं और 525 लोगों की मौत हो गई. वहीं कोरोना के सबसे तेजी से...",,,
Jean-Loup GERVAISE,@jlgervaise,2022-01-23T11:40:02.000Z,"Jean-Loup GERVAISE
@jlgervaise
·
30m#Omicron petite sonnette désagréable quand on suit les épidémies depuis des années, avec le variant BA.2
- classé VUI en UK, nombreux cas
- réinfections BA.2 précoces au DK
- contagiosité inhabituelle et infection de hamsters à HK,(séquences a confirmer)
scmp.com
Hong Kong virus experts urge quarantine hotels to boost ventilation, air supply
Professor David Hui says that hotels are not designed for disease control and recommends ventilation upgrade to ensure ‘at least six air changes per hour’.
1",,1,
PuthiyathalaimuraiTV,@PTTVOnlineNews,2022-01-23T11:39:27.000Z,"PuthiyathalaimuraiTV
@PTTVOnlineNews
·
30mசமூகபரவல் நிலையை எட்டிய ஒமைக்ரான்… மத்திய அரசின் அறிவிப்பு உணர்த்துவது என்ன? https://bit.ly/3GUqnR7 
#Omicron #Covid19 #communitytransmission
puthiyathalaimurai.com
சமூகபரவல் நிலையை எட்டிய ஒமைக்ரான்… மத்திய அரசின் அறிவிப்பு உணர்த்துவது என்ன?
இந்தியாவில் ஒமைக்ரான் தொற்று சமூகபரவல் நிலையை எட்டியது என்றும், மெட்ரோ நகரங்களில் பன்மடங்காக அதிகரித்துள்ளதாகவும் மத்திய அரசின் கொரோனா வைரஸ் பகுப்பாய்வு மையம் தகவல் தெரிவித்துள்ளது. இதுகுறித்த மத்திய...
1
3
12",1,3,12
LombokInsider.com,@KasanMulyono,2022-01-23T11:39:24.000Z,"LombokInsider.com
@KasanMulyono
·
30mBos Pfizer: Vaksin Covid Sekali Setahun Lebih Efektif Daripada Booster Berkali-kali, Vaksin Omicron Siap Maret https://lombokinsider.com/internasional/pr-1552439407/bos-pfizer-vaksin-covid-sekali-setahun-lebih-efektif-daripada-booster-berkali-kali-vaksin-omicron-siap-maret… #Omicron
lombokinsider.com
Bos Pfizer: Vaksin Covid Sekali Setahun Lebih Efektif Daripada Booster Berkali-kali, Vaksin Omicron...
Menurut CEO Pfizer pemberian vaksin Covid sekali setahun lebih efektif daripada booster berkali-kali dari perspektif kesehatan publik.",,,
